Source: Custom Source -> Timestamps-Watermarks,50000,1,1,1,1,1108606930718171,0,289466.11765811156,0,32765.202063033903
Session Window -> DummyLatencySink,50000,1,1,1,1,1108607450002408,34246.268579575335,0.0,32626.70308405885,0.0
Source: Custom Source -> Timestamps-Watermarks,50000,1,1,1,1,1108616938748791,0,287811.5444479533,0,32684.837087381304
Session Window -> DummyLatencySink,50000,1,1,1,1,1108617467527090,34246.94016176887,0.0,32587.004219359867,0.0
Source: Custom Source -> Timestamps-Watermarks,50000,1,1,1,1,1108626952383188,0,289840.91836879746,0,33097.496606938024
Session Window -> DummyLatencySink,50000,1,1,1,1,1108627471950006,34383.700112218554,0.0,32725.95412244601,0.0
Source: Custom Source -> Timestamps-Watermarks,50000,1,1,1,1,1108636966159360,0,289998.9403143524,0,32692.7817870395
Session Window -> DummyLatencySink,50000,1,1,1,1,1108637475736193,33956.23109977039,0.0,32307.71198156225,0.0
Source: Custom Source -> Timestamps-Watermarks,50000,1,1,1,1,1108646977539685,0,288524.12837842875,0,32761.04023859814
Session Window -> DummyLatencySink,50000,1,1,1,1,1108647501614072,34581.65160298111,0.0,32915.11351102414,0.0
Source: Custom Source -> Timestamps-Watermarks,50000,1,1,1,1,1108656982114541,0,288567.4287976129,0,32724.11419408088
Session Window -> DummyLatencySink,50000,1,1,1,1,1108657525231961,34470.314109933504,0.0,32834.66736786126,0.0
Source: Custom Source -> Timestamps-Watermarks,50000,1,1,1,1,1108666990386314,0,289656.32889898116,0,31494.91419806579
Session Window -> DummyLatencySink,50000,1,1,1,1,1108667562627962,34108.607921417984,0.0,32471.392842831745,0.0
Source: Custom Source -> Timestamps-Watermarks,50000,1,1,1,1,1108677000411498,0,287616.4777195122,0,33186.05561264501
Session Window -> DummyLatencySink,50000,1,1,1,1,1108677581619128,35043.073820772915,0.0,33344.155052244096,0.0
Source: Custom Source -> Timestamps-Watermarks,50000,1,1,1,1,1108687006413877,0,291047.0421479534,0,32670.501839013752
Session Window -> DummyLatencySink,50000,1,1,1,1,1108687602311585,33996.157152858614,0.0,32350.983804005507,0.0
