Source: Bids Source,1,43,Source: Bids Source,0.8,40000,1,1,1,1,5258255566402856,0,40804.20408808073,0,40345.31593546286
Mapper,1,43,Mapper,0.8,40000,1,1,1,1,5258255588653451,338362.3276819637,338363.9918108186,40664.43709052836,40664.637085792594
Latency Sink,1,43,Latency Sink,0.8,40000,1,1,1,1,5258256585045468,3907924.0722397743,0.0,39998.92178506446,0.0
Source: Bids Source,1,44,Source: Bids Source,0.8,40000,1,1,1,1,5258265568018053,0,39937.089844437774,0,39894.034096158066
Mapper,1,44,Mapper,0.8,40000,1,1,1,1,5258265590569526,356063.77795940463,356065.55819373333,39999.02721786648,39999.22720350325
Latency Sink,1,44,Latency Sink,0.8,40000,1,1,1,1,5258266587933052,3631695.092322456,0.0,39991.75490389064,0.0
Source: Bids Source,1,45,Source: Bids Source,0.8,40000,1,1,1,1,5258275569963182,0,40690.78172994145,0,40106.52803834625
Mapper,1,45,Mapper,0.8,40000,1,1,1,1,5258275592853716,331465.6593492649,331467.32089789514,39897.53504537874,39897.73504104295
Latency Sink,1,45,Latency Sink,0.8,40000,1,1,1,1,5258276592145147,3911411.0570545224,0.0,40260.79131574905,0.0
Source: Bids Source,1,46,Source: Bids Source,0.8,40000,1,1,1,1,5258285571024134,0,40337.26705548669,0,40033.68697381441
Mapper,1,46,Mapper,0.8,40000,1,1,1,1,5258285594283227,340441.8767875637,340443.5790012032,39995.70631420756,39995.906293239066
Latency Sink,1,46,Latency Sink,0.8,40000,1,1,1,1,5258286596548737,3940195.3958122963,0.0,40115.62955870215,0.0
Source: Bids Source,1,47,Source: Bids Source,0.8,40000,1,1,1,1,5258295578081926,0,40738.60470285561,0,40317.09984275518
Mapper,1,47,Mapper,0.8,40000,1,1,1,1,5258295596480165,337416.4940158749,337418.1721705621,40211.99950374708,40212.199499765775
Latency Sink,1,47,Latency Sink,0.8,40000,1,1,1,1,5258296599940111,3905486.849659033,0.0,40053.0741096929,0.0
Source: Bids Source,1,48,Source: Bids Source,0.8,40000,1,1,1,1,5258305581733552,0,39642.95590270824,0,39531.494757631335
Mapper,1,48,Mapper,0.8,40000,1,1,1,1,5258305598187908,353554.02366255515,353555.81376419135,39499.97029897426,39500.17029376071
Latency Sink,1,48,Latency Sink,0.8,40000,1,1,1,1,5258306602904075,3688725.167350564,0.0,39760.859534279,0.0
Source: Bids Source,1,0,Source: Bids Source,1.6,40000,1,1,1,1,5258411916990950,0,40407.4389625296,0,39840.85096619424
Mapper,1,0,,1.6,40000,1,1
Mapper,1,0,Mapper,1.6,40000,1,1,1,1,5258411896701434,326902.7428625847,326905.1923918369,39776.03502249135,39776.33307004051
Latency Sink,1,0,Latency Sink,1.6,40000,1,1,1,1,5258411900298550,3841047.510782714,0.0,39808.94910381404,0.0
Source: Bids Source,1,1,,1.6,40000,1,1
Source: Bids Source,1,1,Source: Bids Source,1.6,40000,1,1,1,1,5258421959588681,0,40325.21228716741,0,40032.0778559977
Mapper,1,1,Mapper,1.6,40000,1,1,1,1,5258421968489308,348542.0595587311,348543.7990943763,40069.22363995575,40069.42362110835
Latency Sink,1,1,Latency Sink,1.6,40000,1,1,1,1,5258421974628315,4102905.4296019617,0.0,40162.29374392944,0.0
Source: Bids Source,1,2,Source: Bids Source,1.6,40000,1,1,1,1,5258431962793547,0,40489.86998572967,0,39999.87695607088
Mapper,1,2,,1.6,40000,1,1
Mapper,1,2,Mapper,1.6,40000,1,1,1,1,5258431971474122,331204.17134910077,331205.82738237776,39994.47878478581,39994.67875867954
Latency Sink,1,2,Latency Sink,1.6,40000,1,1,1,1,5258431981806915,4198008.879733603,0.0,40087.218588005504,0.0
Source: Bids Source,1,3,,1.6,40000,1,1
Source: Bids Source,1,3,Source: Bids Source,1.6,40000,1,1,1,1,5258441963316238,0,40324.57368446278,0,39993.93838818665
Mapper,1,3,Mapper,1.6,40000,1,1,1,1,5258441975194339,347620.9964648199,347622.7329765527,40030.09002738122,40030.28999436165
Latency Sink,1,3,Latency Sink,1.6,40000,1,1,1,1,5258441985293020,4089242.1485221745,0.0,39979.13200850934,0.0
Source: Bids Source,1,4,,1.6,40000,1,1
Source: Bids Source,1,4,Source: Bids Source,1.6,40000,1,1,1,1,5258451967159377,0,40547.57572980903,0,40036.613861225276
Mapper,1,4,Mapper,1.6,40000,1,1,1,1,5258451979518319,334158.86259222415,334160.52883353276,40107.557214337874,40107.75720564769
Latency Sink,1,4,Latency Sink,1.6,40000,1,1,1,1,5258451994375047,4228395.304070134,0.0,40441.78281192653,0.0
Source: Bids Source,1,5,,1.6,40000,1,1
Source: Bids Source,1,5,Source: Bids Source,1.6,40000,1,1,1,1,5258461968962684,0,40151.982129355965,0,40000.00839595978
Mapper,1,5,Mapper,1.6,40000,1,1,1,1,5258461981176227,355712.20096813247,355713.97851593513,40020.18468493286,40020.38467186373
Latency Sink,1,5,Latency Sink,1.6,40000,1,1,1,1,5258461996750369,4305135.726173415,0.0,40084.417999284604,0.0
Source: Bids Source,1,6,Source: Bids Source,1.6,40000,1,1,1,1,5258471970687501,0,40439.42540638211,0,39997.552863602854
Mapper,1,6,,1.6,40000,1,1
Mapper,1,6,Mapper,1.6,40000,1,1,1,1,5258471983140749,335262.2643907009,335263.94626482145,39862.86865220964,39863.068627972745
Latency Sink,1,6,Latency Sink,1.6,40000,1,1,1,1,5258471999873030,4047845.9790777867,0.0,39551.644663004256,0.0
Source: Bids Source,1,7,,1.6,40000,1,1
Source: Bids Source,1,7,Source: Bids Source,1.6,40000,1,1,1,1,5258481971650192,0,40228.87768426254,0,39996.63439769409
Mapper,1,7,,1.6,40000,1,1
Mapper,1,7,Mapper,1.6,40000,1,1,1,1,5258481986745255,353092.7496413898,353094.5086802486,40145.90261464062,40146.102613657284
Latency Sink,1,7,Latency Sink,1.6,40000,1,1,1,1,5258482004872977,4125456.915591985,0.0,40556.88590455867,0.0
Source: Bids Source,1,8,,1.6,40000,1,1
Source: Bids Source,1,8,Source: Bids Source,1.6,40000,1,1,1,1,5258491974842939,0,40054.63744398057,0,40036.4760759893
Mapper,1,8,Mapper,1.6,40000,1,1,1,1,5258491988813918,364995.4542870006,364997.27426842303,40108.014042275114,40108.21403336977
Latency Sink,1,8,Latency Sink,1.6,40000,1,1,1,1,5258492009008270,4265539.081373711,0.0,40116.33722797745,0.0
Source: Bids Source,1,9,,1.6,40000,1,1
Source: Bids Source,1,9,Source: Bids Source,1.6,40000,1,1,1,1,5258501976694666,0,40682.71237048849,0,40035.226127134716
Mapper,1,9,Mapper,1.6,40000,1,1,1,1,5258501990878345,324798.9580265237,324800.58055292745,40034.63220376828,40034.832195936375
Mapper,1,9,Mapper,1.6,40000,1,1,1,1,5258501990878345,324798.9580265237,324800.58055292745,40034.63220376828,40034.832195936375
Latency Sink,1,9,Latency Sink,1.6,40000,1,1,1,1,5258502012670751,4255234.239223396,0.0,40124.68082052105,0.0
Source: Bids Source,1,10,,1.6,40000,1,1
Source: Bids Source,1,10,Source: Bids Source,1.6,40000,1,1,1,1,5258511978224356,0,40767.78476860436,0,39962.94082401317
Mapper,1,10,Mapper,1.6,40000,1,1,1,1,5258511992945309,315896.37389063276,315897.9649915164,39704.06911318754,39704.26909389221
Latency Sink,1,10,Latency Sink,1.6,40000,1,1,1,1,5258512017832659,4167009.2137245885,0.0,39531.302925396616,0.0
Source: Bids Source,1,11,,1.6,40000,1,1
